epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7666,2.21061,13.3218,2.69318,0.18509,1,0.199,0.0995,1.76946,55.5356,3.76824,4e-05,4e-05,4e-05
2,93.5692,1.48409,15.7116,1.6952,0.12185,1,0.12437,0.06219,1.76778,130.4,3.51711,9.9334e-05,9.9334e-05,9.9334e-05
3,134.95,1.11709,12.6048,1.43763,0.13777,1,0.16583,0.08292,1.7287,154.611,3.33271,0.000157869,0.000157869,0.000157869
4,175.648,1.34928,5.67923,1.9076,0.10943,1,0.14214,0.08529,1.56962,90.5091,3.04343,0.000215604,0.000215604,0.000215604
5,215.574,1.80883,5.06648,2.38517,0.00057,1,0.00154,0.00077,1.58477,83.5946,2.86746,0.000272541,0.000272541,0.000272541
6,251.52,1.47667,4.53697,1.79811,0.00021,1,0.00066,0.00046,1.18422,186.037,2.58756,0.000328678,0.000328678,0.000328678
7,287.204,1.02182,7.80787,1.27591,0.00021,1,0.01292,0.00661,1.51688,24.2946,2.66581,0.000384016,0.000384016,0.000384016
8,322.246,1.86234,3.37352,2.16523,0.02836,1,0.04146,0.01354,1.85784,21.8871,3.02533,0.000438555,0.000438555,0.000438555
9,356.868,1.66474,3.04482,2.07434,0.00246,1,0.01345,0.00291,2.41984,26.9067,4.41052,0.000492294,0.000492294,0.000492294
10,391.241,1.38847,3.18641,1.82563,0.00021,1,0.00031,0.00014,2.62912,50.1258,3.96169,0.000545235,0.000545235,0.000545235
11,425.608,1.98416,3.4375,2.50555,0,0,0,0,3.03238,52.0541,4.19608,0.000597376,0.000597376,0.000597376
12,460.52,1.91198,3.57939,2.04518,0.00021,1,0.00111,0.00058,2.04721,25.6468,3.96349,0.000648718,0.000648718,0.000648718
13,496.698,1.0997,3.64556,1.28737,0.01276,1,0.01555,0.01555,1.1606,67.2846,3.63995,0.000699261,0.000699261,0.000699261
14,535.895,2.1187,3.07318,2.43561,0.00874,1,0.00995,0.00554,1.77155,244.419,3.99059,0.000749004,0.000749004,0.000749004
15,573.911,1.78144,2.59304,2.06862,0.00346,1,0.16583,0.04975,2.77323,815.618,10.1204,0.000797949,0.000797949,0.000797949
16,612.566,1.78177,2.94174,2.08931,0,0,0,0,3.01336,3535.41,4.96279,0.000846094,0.000846094,0.000846094
17,650.748,1.84825,2.84843,2.06798,0,0,0,0,5.89293,714.376,12.0892,0.00089344,0.00089344,0.00089344
18,687.69,1.31104,3.50496,1.48904,0,0,0,0,3.42633,12.3526,7.67201,0.000939987,0.000939987,0.000939987
19,729.808,1.23057,3.02534,1.38943,0,0,0,0,3.04321,10.7782,6.10422,0.000985734,0.000985734,0.000985734
20,770.266,2.35726,3.09402,2.47347,0,0,0,0,1.56559,17.2209,3.9294,0.00103068,0.00103068,0.00103068
21,810.995,2.28986,2.73099,2.66803,0.00239,1,0.00547,0.00194,2.94235,62.1099,9.01098,0.00107483,0.00107483,0.00107483
